iter	Passed	Remaining
0	1	150
1	2	136
2	3	127
3	5	123
4	6	120
5	7	117
6	8	115
7	9	111
8	10	107
9	11	104
10	12	102
11	13	100
12	14	98
13	15	96
14	16	95
15	17	93
16	18	91
17	19	90
18	20	88
19	21	87
20	22	85
21	23	84
22	24	83
23	25	82
24	26	80
25	27	79
26	29	78
27	30	77
28	31	76
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	44	63
41	45	62
42	46	61
43	46	59
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
