iter	Passed	Remaining
0	72	72630
1	74	37149
2	75	25151
3	76	19142
4	78	15550
5	79	13158
6	80	11409
7	81	10101
8	82	9091
9	83	8273
10	84	7602
11	86	7142
12	88	6687
13	89	6283
14	90	5925
15	91	5613
16	92	5339
17	93	5093
18	94	4876
19	95	4681
20	96	4508
21	97	4347
22	98	4198
23	100	4094
24	101	3968
25	102	3850
26	103	3741
27	104	3640
28	105	3544
29	107	3460
30	108	3392
31	109	3315
32	110	3241
33	111	3172
34	112	3106
35	115	3080
36	116	3023
37	117	2971
38	118	2919
39	119	2868
40	120	2819
41	121	2776
42	122	2732
43	124	2697
44	125	2663
45	126	2623
46	128	2602
47	129	2578
48	131	2545
49	132	2513
50	133	2481
51	134	2459
52	136	2440
53	137	2410
54	138	2385
55	139	2358
56	140	2331
57	142	2320
58	144	2299
59	145	2277
60	146	2255
61	147	2234
62	148	2211
63	149	2190
64	150	2168
65	151	2148
66	152	2127
67	153	2106
68	154	2087
69	155	2069
70	158	2068
71	159	2057
72	160	2040
73	161	2024
74	162	2009
75	164	1994
76	165	1983
77	166	1967
78	167	1952
79	168	1937
80	169	1922
81	170	1908
82	171	1890
83	173	1887
84	174	1876
85	175	1864
86	176	1852
87	177	1841
88	178	1829
89	179	1817
90	180	1806
91	181	1796
92	183	1786
93	184	1775
94	185	1765
95	187	1763
96	188	1753
97	189	1743
98	190	1733
99	191	1723
100	192	1713
101	193	1704
102	194	1695
103	195	1686
104	196	1677
105	197	1668
106	198	1660
107	199	1651
108	202	1656
109	203	1649
110	204	1640
111	205	1632
112	206	1624
113	207	1616
114	208	1608
115	210	1601
116	211	1593
117	212	1586
118	213	1579
119	214	1572
120	216	1572
121	217	1566
122	219	1561
123	220	1555
124	221	1550
125	222	1545
126	223	1537
127	224	1532
128	226	1526
129	227	1520
130	228	1514
131	231	1522
132	233	1519
133	234	1514
134	236	1512
135	237	1507
136	238	1500
137	239	1494
138	271	1679
139	272	1672
140	273	1666
141	274	1657
142	275	1650
143	276	1645
144	280	1651
145	281	1645
146	282	1641
147	284	1635
148	285	1630
149	286	1624
150	287	1618
151	288	1611
152	290	1605
153	291	1603
154	294	1605
155	295	1600
156	297	1595
